query,dateSearch,thumbnail,permalink,price,source,title
2607017359-000,2025-01-22,,,,Sodimac,
2607017399-000,2025-01-22,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/sodimacCO/731551_01/w=200,h=200,f=webp,fit=contain,q=85",https://www.homecenter.com.co/homecenter-co/product/731551/kit-de-puntas-y-dados-para-atornillar-46-unidades-bosch/731551/,89900.0,Sodimac,Kit de Puntas y Dados para Atornillar 46 Unidades Bosch
2607017404-000,2025-01-22,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/sodimacCO/499992_01/w=200,h=200,f=webp,fit=contain,q=85",https://www.homecenter.com.co/homecenter-co/product/499992/set-de-24-puntas-para-atornillar-con-soporte-magnetico-bosch/499992/,24900.0,Sodimac,Set De 24 Puntas Para Atornillar Con Soporte Magnético Bosch
2607017407-000,2025-01-22,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/sodimacCO/299052_1/w=200,h=200,f=webp,fit=contain,q=85",https://www.homecenter.com.co/homecenter-co/product/299052/barniz-interior-brillo-teca-25-litros/299052/,134900.0,Sodimac,Barniz Interior Brillo Teca 2.5 Litros
2607017413-000,2025-01-22,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/sodimacCO/299052_1/w=200,h=200,f=webp,fit=contain,q=85",https://www.homecenter.com.co/homecenter-co/product/299052/barniz-interior-brillo-teca-25-litros/299052/,134900.0,Sodimac,Barniz Interior Brillo Teca 2.5 Litros
2607017561-000,2025-01-22,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/sodimacCO/299052_1/w=200,h=200,f=webp,fit=contain,q=85",https://www.homecenter.com.co/homecenter-co/product/299052/barniz-interior-brillo-teca-25-litros/299052/,134900.0,Sodimac,Barniz Interior Brillo Teca 2.5 Litros
2607017578-000,2025-01-22,,,,Sodimac,
1618596443-000,2025-01-22,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/sodimacCO/120412_1/w=200,h=200,f=webp,fit=contain,q=85",https://www.homecenter.com.co/homecenter-co/product/120412/broca-sds-max-quadro-x-1-1-4x18x23-pulgada-1618-596-443-bosch/120412/,745900.0,Sodimac,Broca Sds Max Quadro X 1 1/4x18x23 Pulgada 1618 596 443 Bosch
2608587119-000,2025-01-22,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/sodimacCO/296740_01/w=200,h=200,f=webp,fit=contain,q=85",https://www.homecenter.com.co/homecenter-co/product/296740/sierra-copa-diamantada-1-3-16-pulgadas-bosch/296740/,278900.0,Sodimac,Sierra Copa Diamantada 1-3/16 Pulgadas Bosch
2608587135-000,2025-01-22,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/sodimacCO/296739_01/w=200,h=200,f=webp,fit=contain,q=85",https://www.homecenter.com.co/homecenter-co/product/296739/sierra-copa-diamantada-3-5-16-pulgadas-bosch/296739/,429900.0,Sodimac,Sierra Copa Diamantada 3-5/16 Pulgadas Bosch
